id,date,hap,fdate,saledate,fdummy,sdummy,spell,saleval,sqft,age
055.12.04.002.00,8/1/14,0,,,0,0,60,11.00209984,7.169350017,4.369447852
055.12.20.025.00,8/1/14,0,,6/1/18,0,1,46,11.72399644,7.325807503,4.532599493
055.12.23.003.00,8/1/14,0,,,0,0,60,9.472704636,7.118016204,4.736198448
055.14.02.005.00,8/1/14,0,,9/1/15,0,1,13,10.16585182,7.17472431,4.672828834
055.14.17.009.00,8/1/14,0,,3/1/18,0,1,43,9.392661929,7.799753318,4.820281566
055.14.17.009.00,8/1/14,0,,2/1/16,0,1,18,9.392661929,7.799753318,4.820281566
055.14.18.031.00,8/1/14,0,,5/1/17,0,1,33,12.20607265,7.047517221,4.736198448
055.20.11.005.01,8/1/14,0,,,0,0,60,10.71441777,7.475339237,4.007333185
055.21.01.105.00,8/1/14,0,,11/1/18,0,1,51,11.44357539,7.869401713,3.091042453
055.21.01.110.00,8/1/14,0,,11/1/18,0,1,51,11.74799759,7.869401713,3.044522438
055.21.10.017.00,8/1/14,0,,,0,0,60,11.51292546,7.651595574,3.912023005
055.24.12.002.00,8/1/14,0,,,0,0,60,10.54006438,6.91968385,4.49980967
055.32.02.013.00,8/1/14,0,,,0,0,60,10.83958091,7.322510434,4.736198448
055.32.03.001.00,8/1/14,0,,,0,0,60,10.1266311,7.895808377,4.65396035
055.32.04.075.00,8/1/14,0,,1/1/17,0,1,29,12.4292162,8.222553638,4.691347882
055.41.05.031.00,8/1/14,0,,,0,0,60,11.08214255,7.514254653,4.691347882
055.42.04.005.00,8/1/14,0,3/1/15,,1,0,7,10.73639668,7.160069208,4.343805422
056.11.06.019.00,8/1/14,0,,,0,0,60,11.51292546,7.416378479,4.521788577
056.11.08.017.00,8/1/14,0,,,0,0,60,10.28874995,7.478734826,4.691347882
056.11.08.027.00,8/1/14,0,,,0,0,60,11.08214255,6.841615476,4.127134385
056.11.08.065.00,8/1/14,0,,,0,0,60,11.51292546,7.090909822,4.543294782
056.12.01.019.00,8/1/14,0,,,0,0,60,10.23995979,6.937314081,4.564348191
056.12.16.008.00,8/1/14,1,,6/1/16,0,1,22,10.75149944,6.897704943,4.584967479
056.13.02.135.00,8/1/14,0,9/1/14,,1,0,1,10.81977828,7.578656851,4.615120517
056.13.02.139.00,8/1/14,0,,4/1/15,0,1,8,11.56171563,7.419380583,4.574710979
056.13.02.151.00,8/1/14,1,,4/1/17,0,1,32,11.66134547,7.226936018,4.077537444
056.13.12.008.00,8/1/14,0,,,0,0,60,9.680344001,6.875232087,4.521788577
056.31.02.017.00,8/1/14,0,,,0,0,60,11.08214255,6.835184586,4.691347882
056.31.09.015.00,8/1/14,0,,,0,0,60,9.61580548,6.966024187,4.553876892
056.31.10.031.00,8/1/14,0,,12/1/17,0,1,40,10.74935582,6.646390515,4.510859507
056.31.10.031.00,8/1/14,0,,8/1/15,0,1,12,10.74935582,6.646390515,4.510859507
056.32.05.001.00,8/1/14,0,,4/1/15,0,1,8,11.00209984,7.291656209,4.521788577
056.32.10.007.00,8/1/14,0,,,0,0,60,10.5941316,7.298445102,4.736198448
056.32.12.041.00,8/1/14,0,9/1/15,,1,0,13,11.42081018,8.048788284,4.691347882
056.32.17.003.01,8/1/14,0,,,0,0,60,11.60367983,7.286876412,4.158883083
056.32.19.004.00,8/1/14,0,12/1/14,,1,0,4,10.95779958,7.491087594,4.477336814
056.32.20.050.00,8/1/14,0,,,0,0,60,11.40645322,7.716015267,4.691347882
056.32.27.007.00,8/1/14,0,,10/1/17,0,1,38,11.54248427,7.436617265,4.65396035
056.34.03.004.01,8/1/14,0,,,0,0,60,10.55841352,7.146772179,4.418840608
056.34.07.010.00,8/1/14,0,,,0,0,60,11.28978191,7.496652438,4.663439094
056.40.00.008.00,8/1/14,0,,,0,0,60,10.87804719,6.799055862,4.060443011
056.41.06.006.00,8/1/14,0,,,0,0,60,10.32875529,7.605392365,4.736198448
056.42.01.059.00,8/1/14,0,,,0,0,60,9.104979856,6.577861358,4.736198448
056.42.01.079.00,8/1/14,0,,6/1/16,0,1,22,10.37349118,7.280697195,4.615120517
056.42.02.023.00,8/1/14,1,9/1/18,,1,0,1,10.73856823,7.387090236,4.691347882
056.42.02.023.00,8/1/14,0,,8/1/15,0,1,12,10.73856823,7.387090236,4.691347882
056.43.10.004.00,8/1/14,0,,,0,0,60,10.86092023,7.401231264,4.584967479
056.44.02.005.00,8/1/14,1,,3/1/15,0,1,7,10.13062313,7.579167967,4.718498871
058.40.00.241.00,8/1/14,0,,,0,0,60,11.68687877,7.459338895,3.17805383
059.00.00.003.56,8/1/14,0,,,0,0,60,12.31268238,8.045908742,3.044522438
059.10.00.020.00,8/1/14,0,,,0,0,60,12.46265097,7.996317232,2.995732274
059.10.00.069.00,8/1/14,0,,,0,0,60,12.35449265,7.985824666,3.218875825
059.30.00.080.00,8/1/14,0,,,0,0,60,11.58988651,7.662467815,4.143134726
059.30.00.081.00,8/1/14,0,,,0,0,60,11.22524339,7.737180078,4.143134726
059.30.10.058.00,8/1/14,0,,,0,0,60,12.64626119,8.316544718,2.772588722
040.14.08.029.00,9/1/14,0,,,0,0,60,10.4341158,7.869401713,4.574710979
040.14.10.013.00,9/1/14,0,,,0,0,60,12.1281111,7.89469085,4.110873864
040.30.00.181.01,9/1/14,0,,,0,0,60,10.1266311,7.836764783,4.584967479
040.41.01.002.00,9/1/14,0,,4/1/15,0,1,7,13.26905776,8.031385331,3.63758616
040.44.01.025.00,9/1/14,0,2/1/15,,1,0,5,10.41331268,7.496652438,4.919980926
040.44.01.025.00,9/1/14,0,2/1/15,,1,0,5,10.41331268,7.496652438,4.919980926
