"","id","date","saleval"
"523","055.21.10.019.00",2016-07-01,148000
"524","055.22.10.004.00",2016-07-01,113000
"525","055.23.00.001.00",2016-07-01,8944500
"526","055.23.03.012.00",2016-07-01,20000
"527","055.23.09.029.00",2016-07-01,50000
"528","055.23.16.015.00",2016-07-01,35000
"529","055.23.17.004.00",2016-07-01,66700
"530","055.24.02.006.00",2016-07-01,40000
"531","055.24.09.010.00",2016-07-01,96000
"532","055.24.11.004.00",2016-07-01,14000
"533","055.24.13.001.00",2016-07-01,110000
"534","055.31.03.031.00",2016-07-01,44300
"535","055.31.07.026.00",2016-07-01,6000
"536","055.31.10.027.00",2016-07-01,38000
"537","055.31.12.004.00",2016-07-01,26000
"538","055.31.25.006.00",2016-07-01,27000
"539","055.31.27.001.01",2016-07-01,250000
"540","055.31.27.001.02",2016-07-01,55000
"541","055.32.01.012.00",2016-07-01,9000
"542","055.32.04.009.00",2016-07-01,3300
"543","055.32.04.022.00",2016-07-01,45000
"544","055.32.09.013.00",2016-07-01,33300
"545","055.32.12.003.00",2016-07-01,33300
"546","055.32.20.004.00",2016-07-01,21000
"547","055.32.23.018.00",2016-07-01,105000
"548","055.41.08.006.00",2016-07-01,38600
"549","055.42.01.004.00",2016-07-01,13500
"550","055.42.02.010.00",2016-07-01,23500
"551","056.11.07.023.00",2016-07-01,32500
"552","056.11.07.043.00",2016-07-01,63300
"553","056.11.08.077.00",2016-07-01,80000
"554","",NA,NA
"555","056.12.06.001.00",2016-07-01,98900
"556","056.12.15.001.00",2016-07-01,20500
"557","056.12.16.016.00",2016-07-01,42600
"558","056.13.02.071.00",2016-07-01,112000
"559","056.13.08.021.00",2016-07-01,80000
"560","056.32.01.003.00",2016-07-01,61000
"561","056.32.06.003.00",2016-07-01,57500
"562","056.32.14.013.00",2016-07-01,115000
"563","056.32.15.018.00",2016-07-01,18000
"564","056.32.17.008.00",2016-07-01,69200
"565","056.32.17.010.00",2016-07-01,26000
"566","056.32.17.015.00",2016-07-01,90000
"567","056.32.20.035.00",2016-07-01,99000
"568","056.32.22.031.00",2016-07-01,21000
"569","056.34.07.016.00",2016-07-01,85000
"570","056.34.08.012.00",2016-07-01,50000
"571","056.41.02.052.00",2016-07-01,80000
"572","056.41.04.027.00",2016-07-01,78500
"573","056.41.04.038.00",2016-07-01,58000
"574","056.41.10.017.00",2016-07-01,18000
"575","056.43.09.019.00",2016-07-01,48000
"576","059.00.00.003.43",2016-07-01,193000
"577","059.00.00.003.58",2016-07-01,232000
"578","059.30.00.094.00",2016-07-01,91500
"579","840.41.10.111.07",2016-07-01,95000
"580","841.30.02.010.38",2016-07-01,684800
"581","843.00.03.007.11",2016-07-01,170100
"582","843.00.03.007.24",2016-07-01,181500
"583","843.00.03.008.13",2016-07-01,140000
"584","843.00.03.016.30",2016-07-01,116000
"585","854.14.16.003.39",2016-07-01,105000
"586","854.21.19.007.14",2016-07-01,314500
"587","040.11.07.002.01",2016-08-01,3000
"588","040.11.07.002.02",2016-08-01,3000
"589","040.13.00.034.00",2016-08-01,70000
"590","040.13.00.035.00",2016-08-01,70000
"591","040.14.24.005.00",2016-08-01,50000
"592","040.23.03.003.00",2016-08-01,275700
"593","040.30.00.001.14",2016-08-01,190000
"594","040.32.01.025.00",2016-08-01,201000
"595","040.43.10.010.00",2016-08-01,800
"596","040.43.10.010.01",2016-08-01,800
"597","040.44.02.006.00",2016-08-01,1000
"598","040.44.08.022.00",2016-08-01,20000
"599","040.44.12.003.00",2016-08-01,78500
"600","040.44.12.006.00",2016-08-01,13000
"601","040.44.13.018.00",2016-08-01,149900
"602","040.44.14.001.00",2016-08-01,293900
"603","040.44.17.010.00",2016-08-01,320000
"604","041.30.02.003.36",2016-08-01,370000
"605","041.33.07.009.00",2016-08-01,28000
"606","044.10.00.054.00",2016-08-01,70000
"607","045.00.01.001.00",2016-08-01,82000
