id,date,hap,fdummy,sdummy,spell
055.13.15.015.00,42552,0,0,0,36
055.13.16.028.00,42583,0,0,0,36
055.13.16.029.00,42583,0,0,0,36
055.14.01.002.00,42370,0,0,0,36
055.14.02.004.00,42370,0,0,0,36
055.14.02.006.00,42644,0,0,0,36
055.14.02.006.00,42644,0,0,0,36
055.14.02.023.00,42644,1,0,1,26
055.14.02.023.00,42644,1,0,1,25
055.14.02.026.00,42644,0,0,0,36
055.14.02.026.00,42644,0,0,0,36
055.14.06.016.00,42552,0,0,0,36
055.14.06.027.00,42401,0,0,0,36
055.14.06.027.00,42401,0,0,0,36
055.14.09.002.00,42614,0,0,0,36
055.14.15.021.00,42522,0,0,0,36
055.14.15.022.00,42522,0,0,0,36
055.14.15.023.00,42522,0,0,0,36
055.14.15.024.00,42522,0,0,0,36
055.14.17.001.00,42644,0,0,0,36
055.14.17.001.00,42644,0,0,0,36
055.14.17.005.00,42583,0,0,0,36
055.14.17.009.00,42401,0,0,1,25
055.14.17.012.00,42583,0,0,0,36
055.14.18.014.00,42522,0,1,0,9
055.14.19.010.01,42552,0,0,0,36
055.14.21.030.00,42401,0,0,0,36
055.14.21.030.00,42401,0,0,0,36
055.14.23.001.00,42522,0,0,0,36
055.14.23.017.00,42614,0,0,0,36
055.14.26.005.00,42583,0,0,0,36
055.14.26.008.00,42644,0,0,0,36
055.14.26.008.00,42644,0,0,0,36
055.14.27.034.00,42522,0,0,1,17
055.14.27.034.00,42522,0,0,1,16
055.14.27.046.00,42614,0,0,0,36
055.14.27.058.00,42614,0,0,0,36
055.14.27.059.00,42614,0,0,0,36
055.20.02.006.00,42614,0,0,0,36
055.20.06.001.08,42522,0,0,0,36
055.20.08.001.02,42583,0,1,0,12
055.20.08.002.00,42552,0,0,0,36
055.20.10.025.01,42370,1,0,0,36
055.21.01.002.00,42522,0,0,1,23
055.21.01.101.00,42583,0,0,1,27
055.21.01.106.00,42644,0,0,0,36
055.21.01.114.00,42614,0,0,0,36
055.21.01.137.00,42552,0,0,0,36
055.21.01.148.00,42614,0,0,0,36
055.21.01.172.00,42583,0,0,0,36
055.21.01.187.00,42552,0,0,0,36
055.21.03.001.00,42614,0,0,1,26
055.21.03.012.00,42522,0,1,0,11
055.21.04.022.00,42552,0,0,1,28
055.21.04.023.00,42522,0,1,0,11
055.21.06.005.00,42644,0,0,0,36
055.21.10.019.00,42552,0,0,0,36
055.22.10.004.00,42552,0,0,0,36
055.23.00.001.00,42552,0,0,0,36
055.23.02.034.00,42401,0,0,0,36
055.23.02.034.00,42401,0,0,0,36
055.23.03.012.00,42552,0,0,1,28
055.23.04.005.00,42522,0,0,1,21
055.23.08.006.00,42401,0,0,0,36
055.23.08.006.00,42401,0,0,0,36
055.23.09.023.00,42401,0,0,0,36
055.23.09.023.00,42401,0,0,0,36
055.23.09.024.00,42401,0,0,1,14
055.23.09.024.00,42401,0,0,1,33
055.23.09.024.00,42583,0,0,1,8
055.23.09.024.00,42583,0,0,1,27
055.23.09.024.00,42401,0,0,1,14
055.23.09.024.00,42401,0,0,1,33
055.23.09.029.00,42552,0,1,0,5
055.23.09.034.00,42614,0,0,0,36
055.23.10.012.00,42401,0,0,0,36
055.23.10.012.00,42401,0,0,0,36
055.23.10.015.00,42522,0,0,1,29
055.23.11.012.00,42401,0,0,0,36
055.23.11.012.00,42401,0,0,0,36
055.23.11.017.00,42583,0,0,1,11
055.23.11.017.00,42583,0,0,1,19
055.23.11.019.00,42401,0,0,0,36
055.23.11.019.00,42401,0,0,0,36
055.23.16.001.00,42583,0,0,0,36
055.23.16.015.00,42552,0,0,0,36
055.23.17.004.00,42552,0,0,1,25
055.23.17.004.00,42552,0,0,1,9
055.23.18.010.00,42522,0,0,0,36
055.23.18.018.00,42522,0,0,0,36
055.23.19.001.00,42522,0,1,0,7
055.23.19.001.00,42614,0,1,0,4
055.23.20.013.00,42583,0,0,0,36
055.23.20.014.00,42614,0,0,0,36
055.24.02.006.00,42552,0,0,0,36
055.24.02.012.00,42614,0,0,0,36
055.24.02.014.00,42644,0,0,1,26
055.24.02.014.00,42644,0,0,1,26
055.24.06.003.00,42401,0,0,1,33
055.24.06.003.00,42401,0,0,1,33
055.24.06.004.00,42401,0,0,1,33
055.24.06.004.00,42401,0,0,1,33
055.24.06.021.00,42522,0,0,0,36
055.24.07.013.00,42583,0,0,0,36
055.24.09.010.00,42552,0,0,0,36
055.24.10.008.00,42401,0,0,0,36
055.24.10.008.00,42401,0,0,0,36
055.24.11.004.00,42552,0,0,0,36
055.24.11.008.00,42644,0,0,1,17
