id,hap,fdummy,sdummy,spell,age,sqft,saleval
055.23.09.013.00,0,1,0,3,4.510859507,7.076653815,10.59663473
055.23.09.015.00,0,0,0,48,4.553876892,6.513230111,10.37349118
055.23.09.031.00,0,0,0,48,4.477336814,7.271703707,9.392661929
055.23.09.031.00,0,0,0,48,4.477336814,7.271703707,9.392661929
055.23.10.001.00,0,0,0,48,4.521788577,6.8134446,9.104979856
055.23.11.023.00,0,0,1,15,4.532599493,6.747586527,10.81977828
055.23.19.004.00,0,0,0,48,4.691347882,7.761744985,11.65268741
055.23.19.020.00,0,0,0,48,4.510859507,7.6666902,11.08214255
055.23.20.013.00,0,1,0,13,4.574710979,7.458762692,11.04452056
055.24.02.005.00,0,0,1,40,4.532599493,7.534762657,11.28978191
055.24.02.005.00,0,0,1,40,4.532599493,7.534762657,11.28978191
055.24.02.005.00,0,0,1,40,4.532599493,7.534762657,11.28978191
055.24.03.005.00,0,1,0,14,4.143134726,7.213768308,0
055.24.05.001.00,0,0,0,48,4.787491743,7.549609165,9.717157974
055.24.05.001.00,0,0,0,48,4.787491743,7.549609165,9.717157974
055.24.12.004.00,0,0,1,6,4.510859507,7.700747795,10.65960953
055.24.12.004.00,0,0,1,6,4.510859507,7.700747795,10.65960953
055.24.12.004.00,0,0,1,6,4.510859507,7.700747795,10.65960953
055.31.01.014.00,0,0,1,20,4.820281566,7.02464903,7.824046011
055.31.01.014.00,0,0,1,20,4.820281566,7.02464903,7.824046011
055.31.01.014.00,0,0,1,20,4.820281566,7.02464903,7.824046011
055.31.08.005.00,0,0,1,35,4.779123493,7.788211558,9.71111566
055.31.08.005.00,0,0,1,35,4.779123493,7.788211558,9.71111566
055.31.09.035.00,0,0,0,48,4.859812404,8.080237416,10.91508846
055.31.10.021.00,0,0,0,48,4.691347882,7.598900457,11.05247605
055.31.10.021.00,0,0,0,48,4.691347882,7.598900457,11.05247605
055.31.10.028.00,0,0,0,48,4.8978398,8.125630988,10.42228135
055.31.12.017.00,1,0,0,48,4.553876892,7.278628942,10.97678203
055.31.18.002.00,0,0,0,48,4.521788577,7.564757013,10.01681624
055.31.26.014.00,0,0,0,48,3.970291914,6.797940413,8.935903526
055.32.02.028.00,0,0,1,33,4.779123493,7.244227516,9.510444964
055.32.03.022.00,0,0,1,14,4.691347882,7.542213463,10.55841352
055.32.04.033.00,0,0,0,48,4.779123493,6.684611728,10.01681624
055.32.04.054.00,0,0,0,48,4.736198448,7.367708572,11.15625052
055.32.04.055.00,0,0,0,48,4.779123493,7.006695227,10.81977828
055.32.04.068.00,0,0,0,48,4.779123493,7.064759028,9.878169745
055.32.04.082.00,0,0,0,48,4.553876892,7.604894481,11.76056649
055.32.04.094.00,0,0,0,48,4.532599493,7.570443252,11.56171563
055.32.04.094.00,0,0,0,48,4.532599493,7.570443252,11.56171563
055.32.05.014.00,1,0,0,48,4.736198448,7.162397497,11.19821472
055.32.07.013.00,0,0,0,48,4.762173935,7.431299675,11.56171563
055.32.09.006.00,0,0,0,48,4.736198448,7.719129841,9.998797732
055.32.10.018.00,0,0,0,48,4.9698133,7.855544678,11.1844214
055.32.10.018.00,0,0,0,48,4.9698133,7.855544678,11.1844214
055.32.15.006.00,1,0,0,48,4.510859507,7.189167738,11.2515607
055.32.16.007.00,0,0,0,48,4.820281566,7.858640656,11.50186452
055.32.18.006.00,0,0,0,48,4.158883083,7.33171497,4.605170186
